id;date;lat;lon;pest;intensity;intensity_nor_ha;ndvi;ndwi;ndmi;gndvi;reci;red;nir;date_used;image_path;cloud_percentage;temp_mean;precip_sum;wind_mean;cloud_mean;pressure_mean;rh_mean;dewpoint_mean;intensity_text
3098;12.10.2023;50.531873;13.973319;hraboš polní;0;0;0.1564032697547684;-0.3042409342347879;-0.1554228855721393;0.3042409342347879;0.1136950904392763;1548.0;2122.0;15.10.2023;sentinel_data/S2L2A_RGB_2023-10-15_50.531873_13.973319_128x128.png;17.106782;16.083333333333332;1.4;10.7;99.83333333333331;1014.9875;74.95833333333333;11.491666666666667;bez výskytu
1290;30.5.2023;50.296521;14.091937;hraboš polní;0;0;0.40625;-0.4574898785425101;-0.0458159787959106;0.4574898785425101;0.3984962406015038;1064.0;2520.0;25.5.2023;sentinel_data/S2L2A_RGB_2023-05-25_50.296521_14.091937_128x128.png;0.049784;17.454166666666666;0.0;12.85;35.125;1022.0625;41.083333333333336;3.204166666666667;bez výskytu
2826;15.9.2023;50.417424;13.470414;hraboš polní;1;3090;0.1901306240928882;-0.3204508856682769;-0.219419324131366;0.3204508856682769;0.1998207885304659;1116.0;1640.0;10.9.2023;sentinel_data/S2L2A_RGB_2023-09-10_50.417424_13.470414_128x128.png;0.589865;15.9375;0.0;7.845833333333334;35.166666666666664;1021.5166666666668;65.70833333333333;9.0;s výskytom
1415;5.6.2023;49.695145;18.287158;hraboš polní;0;0;0.1814931650893796;-0.2713283548314098;-0.0775041050903119;0.2713283548314098;0.1752312435765672;1946.0;2809.0;1.6.2023;sentinel_data/S2L2A_RGB_2023-06-01_49.695145_18.287158_128x128.png;14.172107;16.016666666666666;2.3;4.554166666666667;85.20833333333333;1020.3708333333332;76.33333333333333;11.658333333333331;bez výskytu
4633;15.5.2024;50.58052;15.584526;hraboš polní;1;30;0.1963902019767941;-0.2906815020862309;-0.005181347150259;0.2906815020862309;0.1737967914438503;1870.0;2784.0;14.5.2024;sentinel_data/S2L2A_RGB_2024-05-14_50.580520_15.584526_128x128.png;1.106728;15.9;0.0;16.866666666666664;17.416666666666668;1013.2291666666666;48.5;4.779166666666667;s výskytom
845;21.4.2023;49.956481;17.936177;hraboš polní;1;10;0.5657455208017006;-0.5474189675870348;0.2391252102859889;0.5474189675870348;0.4853146853146852;715.0;2578.0;22.4.2023;sentinel_data/S2L2A_RGB_2023-04-22_49.956481_17.936177_128x128.png;0.762098;10.433333333333334;0.0;7.7;19.08333333333333;1017.7166666666666;70.33333333333333;4.75;s výskytom
814;20.4.2023;49.514561;17.405923;hraboš polní;1;1020;0.8489521550019771;-0.7460791635548917;0.4288770053475936;0.7460791635548917;1.9345549738219896;382.0;4676.0;22.4.2023;sentinel_data/S2L2A_RGB_2023-04-22_49.514561_17.405923_128x128.png;5.795959;9.829166666666666;0.1;17.037499999999998;80.70833333333333;1017.9874999999998;73.04166666666667;5.083333333333333;s výskytom
2444;8.9.2023;50.789964;14.813318;hraboš polní;1;50;0.1464968152866242;-0.2926391382405745;-0.1852131271218408;0.2926391382405745;0.1243781094527363;1608.0;2160.0;7.9.2023;sentinel_data/S2L2A_RGB_2023-09-07_50.789964_14.813318_128x128.png;0.008617;20.3125;0.0;10.604166666666666;0.0;1022.0625;62.0;12.466666666666669;s výskytom
4470;6.5.2024;49.646801;18.390378;hraboš polní;1;120;0.3839460517728953;-0.4229478863788861;0.0192246074975969;0.4229478863788861;0.5296610169491525;1416.0;3181.0;1.5.2024;sentinel_data/S2L2A_RGB_2024-05-01_49.646801_18.390378_128x128.png;6.44981;17.304166666666667;3.8;10.020833333333334;85.20833333333333;1008.825;66.79166666666667;10.679166666666667;s výskytom
2356;7.9.2023;50.433222;15.594248;hraboš polní;1;10;0.1477323753929052;-0.2729083665338645;-0.1637493865532471;0.2729083665338645;0.1396206533192834;1898.0;2556.0;7.9.2023;sentinel_data/S2L2A_RGB_2023-09-07_50.433222_15.594248_128x128.png;0.014957;19.754166666666663;0.0;8.887500000000001;0.0;1024.1583333333335;62.29166666666666;11.829166666666666;s výskytom
2941;4.10.2023;49.371652;17.410264;hraboš polní;1;11350;0.3697849183726354;-0.3841319717203456;-0.0482535109830752;0.3841319717203456;0.4013157894736843;1216.0;2643.0;2.10.2023;sentinel_data/S2L2A_RGB_2023-10-02_49.371652_17.410264_128x128.png;7.516281;15.170833333333334;0.0;12.25;37.833333333333336;1025.8541666666667;65.33333333333333;8.433333333333334;s výskytom
2139;5.9.2023;50.015798;15.889227;hraboš polní;1;750;0.9271101942582088;-0.7993579454253612;0.485949098621421;0.7993579454253612;4.165094339622642;212.0;5605.0;7.9.2023;sentinel_data/S2L2A_RGB_2023-09-07_50.015798_15.889227_128x128.png;0.014957;16.900000000000002;0.0;6.7;29.916666666666668;1025.9083333333333;74.125;11.675000000000002;s výskytom
